   Player ID                      Player Name          Age   Height(cm)   Weight(kg)
   000000001               Aaron Appindangoye           26      183         84.8
   000000002                  Aaron Cresswell           28      170         66.2
   000000003                      Aaron Doran           26      170         73.9
   000000004                    Aaron Galindo           36      183         89.8
   000000005                     Aaron Hughes           38      183         69.9
   000000006                       Aaron Hunt           31      183         73.0
   000000007                       Aaron Kuhl           22      173         66.2
   000000008                     Aaron Lennon           31      165         63.1
   000000009                     Aaron Lennox           25      191         82.1
   000000010                    Aaron Meijers           30      175         77.1
   000000011                    Aaron Mokoena           37      183         82.1
   000000012                       Aaron Mooy           27      175         68.0
   000000013                   Aaron Muirhead           27      188         76.2
   000000014                     Aaron Niguez           29      170         64.9
   000000015                     Aaron Ramsey           27      178         69.9
   000000016                    Aaron Splaine           21      173         73.9
   000000017            Aaron Taylor-Sinclair           27      183         79.8
   000000018                  Aaron Wilbraham           38      191         72.1
   000000019                Aatif Chahechouhe           31      175         68.0
   000000020                        Abasse Ba           41      188         83.9
   000000021                Abdelaziz Barrada           28      178         73.0
   000000022            Abdelfettah Boukhriss           31      185         73.0
   000000023           Abdelhamid El Kaoutari           28      180         73.0
   000000024               Abdelkader Ghezzal           33      183         78.0
   000000025                  Abdellah Zoubir           26      180         73.0
   000000026               Abdelmajid Oulmers           39      173         64.9
   000000027               Abdelmalek Cherrad           37      185         74.8
   000000028           Abdelmalek El Hasnaoui           24      180         72.1
   000000029              Abdelouahed Chakhsi           31      183         77.1
   000000030                 Abderrazak Jadid           34      178         71.2
   000000031                 Abdeslam Ouaddou           39      191         82.1
   000000032            Abdessalam Benjelloun           33      188         81.2
   000000033                     Abdou Diallo           22      183         72.1
   000000034                     Abdou Traore           30      180         78.9
   000000035                        Abdoul Ba           24      201         96.2
   000000036                Abdoul Karim Yoda           29      183         73.0
   000000037           Abdoul Razzagui Camara           28      178         71.2
   000000038                   Abdoulay Konko           34      183         71.2
   000000039                     Abdoulaye Ba           27      198         78.9
   000000040                  Abdoulaye Bamba           28      183         68.0
   000000041                  Abdoulaye Diaby           26      173         69.9
   000000042                 Abdoulaye Diallo           26      188         78.9
   000000043               Abdoulaye Doucoure           25      183         74.8
   000000044                   Abdoulaye Faye           40      188         98.9
   000000045                  Abdoulaye Keita           24      175         74.8
   000000046                  Abdoulaye Meite           37      185         82.1
   000000047                  Abdoulaye Toure           24      188         77.1
   000000048              Abdoulwahid Sissoko           28      183         74.8
   000000049               Abdourahman Dampha           26      183         76.2
   000000050                Abdul Aziz Tetteh           29      183         86.2
   000000051               Abdul Majeed Waris           26      173         71.2
   000000052                      Abdul Osman           31      183         69.9
   000000053                Abdul Rahman Baba           23      178         69.9
   000000054                Abdul-Yakinu Iddi           31      173         66.2
   000000055                 Abdulkader Keita           36      183         78.0
   000000056                   Abdulla Fatadi           32      175         78.0
   000000057               Abdullah Al Hafith           25      188         74.8
   000000058                    Abdullah Omar           31      175         71.2
   000000059                  Abdullahi Shehu           25      180         72.1
   000000060                     Abel Aguilar           33      185         79.8
   000000061                       Abel Gomez           36      183         74.8
   000000062                   Abel Hernandez           27      185         73.0
   000000063                 Abel Issa Camara           28      185         81.2
   000000064                      Abel Khaled           25      180         67.1
   000000065                      Abel Tamata           27      183         77.1
   000000066                             Abel           39      178         74.8
   000000067               Abella Perez Damia           36      188         78.9
